lon,lat,frequency,risk
142.45,-12,0.88,1.75
142.5,-12,0.88,1.75
142.55,-12,0.88,1.75
142.6,-12,0.88,1.75
142.3,-12,0.75,1.50
142.35,-12,0.75,1.50
142.4,-12,0.75,1.50
142.65,-12,0.75,1.50
142.25,-12,0.63,1.25
142.7,-12,0.63,1.25
143.15,-12,0.50,1.00
142.15,-12,0.38,0.75
142.2,-12,0.25,0.50
142.75,-12,0.25,0.00
142.8,-12,0.25,0.00
136.25,-12,0.13,0.00
142.1,-12,0.13,0.00
142.85,-12,0.13,0.00
143.1,-12,0.13,0.00
132.65,-12,0.00,0.00
132.7,-12,0.00,0.00
132.75,-12,0.00,0.00
132.8,-12,0.00,0.00
132.85,-12,0.00,0.00
132.9,-12,0.00,0.00
132.95,-12,0.00,0.00
133,-12,0.00,0.00
133.05,-12,0.00,0.00
133.1,-12,0.00,0.00
133.15,-12,0.00,0.00
133.2,-12,0.00,0.00
133.25,-12,0.00,0.00
133.3,-12,0.00,0.00
133.35,-12,0.00,0.00
133.4,-12,0.00,0.00
133.45,-12,0.00,0.00
133.5,-12,0.00,0.00
133.55,-12,0.00,0.00
133.6,-12,0.00,0.00
133.65,-12,0.00,0.00
133.7,-12,0.00,0.00
133.75,-12,0.00,0.00
133.8,-12,0.00,0.00
133.85,-12,0.00,0.00
133.9,-12,0.00,0.00
133.95,-12,0.00,0.00
134,-12,0.00,0.00
134.05,-12,0.00,0.00
134.1,-12,0.00,0.00
134.15,-12,0.00,0.00
134.2,-12,0.00,0.00
134.3,-12,0.00,0.00
134.7,-12,0.00,0.00
134.75,-12,0.00,0.00
134.8,-12,0.00,0.00
134.85,-12,0.00,0.00
134.95,-12,0.00,0.00
135.6,-12,0.00,0.00
135.75,-12,0.00,0.00
135.8,-12,0.00,0.00
136.15,-12,0.00,0.00
136.2,-12,0.00,0.00
136.4,-12,0.00,0.00
136.45,-12,0.00,0.00
136.5,-12,0.00,0.00
136.55,-12,0.00,0.00
141.85,-12,0.00,0.00
141.9,-12,0.00,0.00
142.9,-12,0.00,0.00
142.95,-12,0.00,0.00
143,-12,0.00,0.00
143.05,-12,0.00,0.00
143.15,-11.95,1.00,2.00
142.45,-11.95,0.88,1.75
142.5,-11.95,0.88,1.75
142.55,-11.95,0.88,1.75
142.6,-11.95,0.88,1.75
143.25,-11.95,0.88,1.75
143.2,-11.95,0.75,1.50
142.15,-11.95,0.63,1.25
142.4,-11.95,0.63,1.25
135.75,-11.95,0.50,1.00
135.9,-11.95,0.50,1.00
142.2,-11.95,0.50,1.00
142.65,-11.95,0.50,1.00
143.1,-11.95,0.50,1.00
135.7,-11.95,0.38,0.75
142.25,-11.95,0.38,0.75
135.85,-11.95,0.25,0.00
142.3,-11.95,0.25,0.50
142.35,-11.95,0.25,0.50
142.7,-11.95,0.25,0.50
142.95,-11.95,0.25,0.00
135.65,-11.95,0.13,0.25
142.75,-11.95,0.13,0.00
142.8,-11.95,0.13,0.00
143,-11.95,0.13,0.00
132.65,-11.95,0.00,0.00
132.7,-11.95,0.00,0.00
132.75,-11.95,0.00,0.00
132.8,-11.95,0.00,0.00
132.85,-11.95,0.00,0.00
132.9,-11.95,0.00,0.00
132.95,-11.95,0.00,0.00
133,-11.95,0.00,0.00
133.05,-11.95,0.00,0.00
133.1,-11.95,0.00,0.00
133.15,-11.95,0.00,0.00
133.2,-11.95,0.00,0.00
133.25,-11.95,0.00,0.00
133.3,-11.95,0.00,0.00
133.35,-11.95,0.00,0.00
133.4,-11.95,0.00,0.00
133.45,-11.95,0.00,0.00
133.5,-11.95,0.00,0.00
133.55,-11.95,0.00,0.00
133.6,-11.95,0.00,0.00
133.65,-11.95,0.00,0.00
133.7,-11.95,0.00,0.00
133.75,-11.95,0.00,0.00
133.8,-11.95,0.00,0.00
133.85,-11.95,0.00,0.00
133.9,-11.95,0.00,0.00
133.95,-11.95,0.00,0.00
134,-11.95,0.00,0.00
134.05,-11.95,0.00,0.00
134.1,-11.95,0.00,0.00
134.15,-11.95,0.00,0.00
134.7,-11.95,0.00,0.00
134.75,-11.95,0.00,0.00
136.3,-11.95,0.00,0.00
136.45,-11.95,0.00,0.00
141.9,-11.95,0.00,0.00
142,-11.95,0.00,0.00
142.05,-11.95,0.00,0.00
142.85,-11.95,0.00,0.00
142.9,-11.95,0.00,0.00
143.05,-11.95,0.00,0.00
142.45,-11.9,0.88,1.75
142.6,-11.9,0.88,1.75
142.65,-11.9,0.88,1.75
143.15,-11.9,0.88,1.75
142.5,-11.9,0.75,1.50
142.55,-11.9,0.75,1.50
143.1,-11.9,0.75,1.50
142.7,-11.9,0.63,1.25
135.8,-11.9,0.50,1.00
142.2,-11.9,0.38,0.00
142.4,-11.9,0.38,0.00
142.75,-11.9,0.38,0.75
142.95,-11.9,0.38,0.75
142.1,-11.9,0.25,0.00
142.15,-11.9,0.25,0.00
142.25,-11.9,0.25,0.00
