longitude;latitude;Frequecy;Risk
36.35;-3.6;0.375;0.75
36.4;-3.6;0.375;0.75
36.45;-3.6;0.5;1
36.5;-3.6;0.5;1
37.1;-3.6;0.375;0
37.15;-3.6;0.375;0
36.05;-3.55;0.25;0
36.1;-3.55;0.25;0
36.15;-3.55;0.375;0
36.2;-3.55;0.25;0
36.25;-3.55;0.5;0
36.3;-3.55;0.375;0
36.35;-3.55;0.375;0
36.4;-3.55;0.375;0
36.45;-3.55;0.5;1
36.5;-3.55;0.5;1
36.55;-3.55;0.5;1
36.6;-3.55;0.5;1
36.65;-3.55;0.5;1
36.7;-3.55;0.25;0.5
36.75;-3.55;0.25;0.5
36.8;-3.55;0.5;1
36.85;-3.55;0.375;0.75
36.9;-3.55;;
36.95;-3.55;0.625;0
37;-3.55;0.625;0
37.05;-3.55;0.375;0.75
37.1;-3.55;0.375;0
37.15;-3.55;0.5;0
37.2;-3.55;0.75;0.75
36.05;-3.5;0.25;0
36.1;-3.5;0.25;0
36.15;-3.5;0.375;0
36.2;-3.5;0.375;0
36.25;-3.5;0.5;0
36.3;-3.5;0.375;0
36.35;-3.5;0.5;0
36.4;-3.5;0.375;0
36.45;-3.5;0.5;1
36.5;-3.5;0.375;0.75
36.55;-3.5;0.25;0.5
36.6;-3.5;0.5;1
36.65;-3.5;0.5;1
36.7;-3.5;0.375;0.75
36.75;-3.5;0.25;0.5
36.8;-3.5;0.5;1
36.85;-3.5;0.5;1
36.9;-3.5;0.5;0
36.95;-3.5;0.625;0
37;-3.5;0.625;0
37.05;-3.5;0.375;0.75
37.1;-3.5;0.375;0
37.15;-3.5;0.875;0.875
37.2;-3.5;0.75;0
37.25;-3.5;0.625;0
41.25;-3.5;0;0
36.05;-3.45;0.25;0
36.1;-3.45;0.25;0
36.15;-3.45;0.25;0
36.2;-3.45;0.5;0
36.25;-3.45;0.375;0
36.3;-3.45;0.375;0
36.35;-3.45;0.5;0
36.4;-3.45;0.5;1
36.45;-3.45;0.375;0.75
36.5;-3.45;0.25;0.5
36.55;-3.45;0.25;0.5
36.6;-3.45;0.25;0.5
36.65;-3.45;0.5;1
36.7;-3.45;0.375;0.75
36.75;-3.45;0.375;0.75
36.8;-3.45;0.5;1
36.85;-3.45;0.375;0.75
36.9;-3.45;0.625;0
36.95;-3.45;0.625;0
37;-3.45;0.375;0.75
37.05;-3.45;0.875;0.875
37.1;-3.45;0.375;0.75
37.15;-3.45;0.875;0.875
37.2;-3.45;0.75;0
37.25;-3.45;0.75;0
37.3;-3.45;0.5;0
37.35;-3.45;0.375;0
41.05;-3.45;0.375;0
41.15;-3.45;0.125;0
41.2;-3.45;0.25;0
41.25;-3.45;0;0
41.3;-3.45;0;0
36;-3.4;0.25;0
36.05;-3.4;0.25;0
36.1;-3.4;0.25;0
36.15;-3.4;0.375;0
36.2;-3.4;0.5;0
36.25;-3.4;0.25;0
36.3;-3.4;0.25;0
36.35;-3.4;0.25;0
36.4;-3.4;0.375;0.75
36.45;-3.4;0.375;0.75
36.5;-3.4;0.5;1
36.55;-3.4;0.25;0.5
36.6;-3.4;0.25;0.5
36.65;-3.4;0.25;0.5
36.7;-3.4;0.375;0.75
36.75;-3.4;0.375;0.75
36.8;-3.4;0.375;0.75
36.85;-3.4;0.25;0.5
36.9;-3.4;0.625;0
36.95;-3.4;0.375;0.75
37;-3.4;0.5;1
37.05;-3.4;0.875;0.875
37.1;-3.4;0.75;0.75
37.15;-3.4;0.75;0
37.2;-3.4;0.5;0
37.25;-3.4;0.625;0
37.3;-3.4;0.625;0
37.35;-3.4;0.375;0
37.4;-3.4;0.25;0
37.45;-3.4;0.875;0.875
37.5;-3.4;0.875;0.875
37.55;-3.4;0.875;0.875
40.9;-3.4;0;0
41;-3.4;0.375;0
41.05;-3.4;0;0
41.1;-3.4;0;0
41.15;-3.4;0;0
41.2;-3.4;0;0
41.25;-3.4;0;0
41.3;-3.4;0;0
41.35;-3.4;0;0
35.95;-3.35;0;0
36;-3.35;0;0
36.05;-3.35;0.25;0
36.1;-3.35;0.25;0
36.15;-3.35;0.625;1.25
36.2;-3.35;0.25;0
36.25;-3.35;0.125;0
36.3;-3.35;0.125;0
36.35;-3.35;0.25;0
36.4;-3.35;0.75;0
36.45;-3.35;0.25;0.5
36.5;-3.35;0.5;1
36.55;-3.35;0.25;0.5
36.6;-3.35;0.25;0.5
36.65;-3.35;0.25;0.5
36.7;-3.35;0.5;1
36.75;-3.35;1;1
36.8;-3.35;0.5;1
36.85;-3.35;0.25;0
36.9;-3.35;0.375;0.75
36.95;-3.35;0.5;1
