lat;lon ;RR ; Wet_Climat_Freq
4.3;40.9;0.00;0.13
4.3;40.95;0.00;0.13
4.25;40.85;0.00;0.13
4.25;40.9;0.00;0.13
4.25;40.95;0.00;0.13
4.2;40.75;0.00;0.13
4.2;40.8;0.00;0.13
4.2;40.85;0.00;0.13
4.2;40.9;0.00;0.13
4.2;40.95;0.00;0.13
4.2;41;0.00;0.13
4.15;40.7;0.00;0.13
4.15;40.75;0.00;0.13
4.15;40.8;0.00;0.13
4.15;40.85;0.00;0.13
4.15;40.9;0.00;0.13
4.15;40.95;0.00;0.13
4.1;40.6;0.00;0.50
4.1;40.65;0.00;0.50
4.1;40.7;0.00;0.13
4.1;40.75;0.00;0.13
4.1;40.8;0.00;0.13
4.1;40.85;0.00;0.13
4.1;40.9;0.00;0.13
4.1;40.95;0.00;0.13
4.1;41;0.00;0.13
4.05;40.55;0.00;0.50
4.05;40.6;0.00;0.50
4.05;40.65;0.00;0.25
4.05;40.7;0.00;0.25
4.05;40.75;0.00;0.13
4.05;40.8;0.00;0.13
4.05;40.85;0.00;0.13
4.05;40.9;0.00;0.13
4.05;40.95;0.00;0.13
4;35.35;0.00;0.50
4;35.4;0.00;0.50
4;35.45;0.00;0.50
4;40.5;0.00;0.50
4;40.55;0.00;0.63
4;40.6;0.00;0.38
4;40.65;0.00;0.25
4;40.7;0.00;0.25
4;40.75;0.00;0.13
4;40.8;0.00;0.13
4;40.85;0.00;0.13
4;40.9;0.00;0.13
4;40.95;0.00;0.13
3.95;40.4;0.38;0.13
3.95;35.3;0.00;0.50
3.95;35.35;0.00;0.50
3.95;35.4;0.00;0.50
3.95;35.45;0.00;0.50
3.95;35.5;0.00;0.63
3.95;40.45;0.00;0.63
3.95;40.5;0.00;0.50
3.95;40.55;0.00;0.63
3.95;40.6;0.00;0.38
3.95;40.65;0.00;0.25
3.95;40.7;0.00;0.25
3.95;40.75;0.00;0.25
3.95;40.8;0.00;0.13
3.95;40.85;0.00;0.13
3.95;40.9;0.00;0.13
3.95;40.95;0.00;0.13
3.9;40.35;0.38;0.13
3.9;40.4;0.38;0.13
3.9;35.25;0.00;0.50
3.9;35.3;0.00;0.50
3.9;35.35;0.00;0.50
3.9;35.4;0.00;0.63
3.9;35.45;0.00;0.63
3.9;35.5;0.00;0.63
3.9;35.55;0.00;0.75
3.9;35.6;0.00;0.75
3.9;40.45;0.00;0.50
3.9;40.5;0.00;0.50
3.9;40.55;0.00;0.50
3.9;40.6;0.00;0.50
3.9;40.65;0.00;0.25
3.9;40.7;0.00;0.25
3.9;40.75;0.00;0.25
3.9;40.8;0.00;0.25
3.9;40.85;0.00;0.25
3.9;40.9;0.00;0.25
3.9;40.95;0.00;0.13
3.85;35.15;0.00;0.63
3.85;35.2;0.00;0.63
3.85;35.25;0.00;0.63
3.85;35.3;0.00;0.63
3.85;35.35;0.00;0.63
3.85;35.4;0.00;0.63
3.85;35.45;0.00;0.63
3.85;35.5;0.00;0.63
3.85;35.55;0.00;0.75
3.85;35.6;0.00;0.75
3.85;35.65;0.00;0.75
3.85;40.25;0.00;0.63
3.85;40.3;0.00;0.63
3.85;40.35;0.00;0.50
3.85;40.4;0.00;0.50
3.85;40.45;0.00;0.50
3.85;40.5;0.00;0.50
3.85;40.55;0.00;0.63
3.85;40.6;0.00;0.50
3.85;40.65;0.00;0.38
3.85;40.7;0.00;0.25
3.85;40.75;0.00;0.25
3.85;40.8;0.00;0.25
3.85;40.85;0.00;0.25
3.85;40.9;0.00;0.13
3.85;40.95;0.00;0.13
3.8;35.1;0.38;0.00
3.8;35.6;0.25;0.00
3.8;35.65;0.25;0.00
3.8;35.7;0.25;0.00
3.8;35.15;0.00;0.63
3.8;35.2;0.00;0.63
3.8;35.25;0.00;0.63
3.8;35.3;0.00;0.63
3.8;35.35;0.00;0.63
3.8;35.4;0.00;0.63
3.8;35.45;0.00;0.63
3.8;35.5;0.00;0.63
3.8;35.55;0.00;0.75
3.8;40.2;0.00;0.50
3.8;40.25;0.00;0.50
3.8;40.3;0.00;0.50
3.8;40.35;0.00;0.50
3.8;40.4;0.00;0.50
3.8;40.45;0.00;0.50
3.8;40.5;0.00;0.50
3.8;40.55;0.00;0.50
3.8;40.6;0.00;0.50
3.8;40.65;0.00;0.50
3.8;40.7;0.00;0.25
3.8;40.75;0.00;0.25
3.8;40.8;0.00;0.38
3.8;40.85;0.00;0.25
3.8;40.9;0.00;0.25
3.8;40.95;0.00;0.13
3.75;35.1;0.38;0.00
3.75;35.15;0.38;0.00
3.75;35.2;0.38;0.00
3.75;35.25;0.38;0.00
3.75;35.35;0.38;0.00
3.75;35.4;0.38;0.00
3.75;35.45;0.25;0.00
3.75;35.5;0.25;0.00
3.75;35.6;0.25;0.00
3.75;35.65;0.25;0.00
3.75;35.7;0.25;0.00
3.75;35.8;0.25;0.00
3.75;35.55;0.13;0.00
3.75;35.75;0.13;0.00
3.75;35.3;0.00;0.63
3.75;40.15;0.00;0.50
3.75;40.2;0.00;0.50
3.75;40.25;0.00;0.50
3.75;40.3;0.00;0.38
3.75;40.35;0.00;0.38
3.75;40.4;0.00;0.38
3.75;40.45;0.00;0.38
3.75;40.5;0.00;0.50
3.75;40.55;0.00;0.50
3.75;40.6;0.00;0.50
3.75;40.65;0.00;0.50
3.75;40.7;0.00;0.38
3.75;40.75;0.00;0.38
3.75;40.8;0.00;0.25
3.75;40.85;0.00;0.13
3.75;40.9;0.00;0.25
3.75;40.95;0.00;0.25
3.7;35.85;0.50;0.00
3.7;35.15;0.38;0.00
3.7;35.2;0.38;0.00
3.7;35.25;0.38;0.00
3.7;35.3;0.38;0.00
3.7;35.35;0.38;0.00
3.7;35.4;0.25;0.00
3.7;35.6;0.25;0.00
3.7;35.65;0.25;0.00
3.7;35.7;0.25;0.00
3.7;35.8;0.25;0.00
3.7;35.45;0.13;0.00
3.7;35.5;0.13;0.00
3.7;35.55;0.13;0.00
3.7;35.75;0.13;0.00
3.7;40.1;0.00;0.50
3.7;40.15;0.00;0.50
3.7;40.2;0.00;0.50
3.7;40.25;0.00;0.50
3.7;40.3;0.00;0.38
3.7;40.35;0.00;0.50
3.7;40.4;0.00;0.50
3.7;40.45;0.00;0.50
3.7;40.5;0.00;0.50
3.7;40.55;0.00;0.50
3.7;40.6;0.00;0.50
3.7;40.65;0.00;0.50
3.7;40.7;0.00;0.50
3.7;40.75;0.00;0.25
3.7;40.8;0.00;0.25
3.7;40.85;0.00;0.25
3.7;40.9;0.00;0.25
3.7;40.95;0.00;0.13
3.65;35.85;0.50;0.00
3.65;35.9;0.50;0.00
3.65;35.15;0.38;0.00
3.65;35.2;0.38;0.00
3.65;35.25;0.38;0.00
3.65;35.3;0.38;0.00
3.65;35.35;0.38;0.00
3.65;40.5;0.38;0.13
3.65;35.4;0.25;0.00
3.65;40.4;0.25;0.13
3.65;40.45;0.25;0.13
3.65;40.55;0.25;0.13
3.65;35.45;0.13;0.00
3.65;35.5;0.13;0.00
3.65;35.55;0.13;0.00
3.65;35.6;0.13;0.00
3.65;35.65;0.13;0.00
3.65;35.7;0.13;0.00
3.65;35.75;0.13;0.00
