lon,lat,frequency,risk
-81.25,19.3,0.50,0.00
-81.35,19.35,0.63,0.00
-81.25,19.35,0.38,0.38
-81.2,19.35,0.38,0.38
-81.15,19.35,0.38,0.38
-81.1,19.35,0.38,0.38
-81.25,19.4,0.38,0.38
-73,19.65,0.00,0.00
-80.05,19.7,0.50,1.50
-73.4,19.7,0.00,0.00
-73.35,19.7,0.00,0.00
-73.3,19.7,0.00,0.00
-73.25,19.7,0.00,0.00
-73.2,19.7,0.00,0.00
-73.15,19.7,0.00,0.00
-73.1,19.7,0.00,0.00
-73.05,19.7,0.00,0.00
-73,19.7,0.00,0.00
-73.25,19.75,0.88,0.00
-73.2,19.75,0.88,0.00
-79.8,19.75,0.13,0.00
-79.75,19.75,0.13,0.00
-73.15,19.75,0.13,0.00
-73,19.75,0.13,0.00
-73.4,19.75,0.00,0.00
-73.35,19.75,0.00,0.00
-73.3,19.75,0.00,0.00
-73.1,19.75,0.00,0.00
-73.05,19.75,0.00,0.00
-73.15,19.8,0.88,0.00
-73.3,19.8,0.38,0.00
-73.2,19.8,0.38,0.00
-73.25,19.8,0.13,0.00
-73.1,19.8,0.13,0.00
-73.05,19.8,0.13,0.25
-73.4,19.8,0.00,0.00
-73.35,19.8,0.00,0.00
-73,19.8,0.00,0.00
-73,19.85,0.63,0.00
-73.2,19.85,0.50,0.00
-73.15,19.85,0.38,0.00
-73.05,19.85,0.38,0.00
-73.3,19.85,0.25,0.00
-73.25,19.85,0.25,0.00
-73.1,19.85,0.13,0.00
-77.6,19.9,0.75,2.25
-77.55,19.9,0.75,0.00
-73.2,19.9,0.50,1.00
-77.7,19.9,0.38,0.00
-77.5,19.9,0.38,0.75
-73.1,19.9,0.38,0.75
-73,19.9,0.38,0.75
-77.45,19.9,0.25,0.00
-77.35,19.9,0.25,0.00
-73.15,19.9,0.25,0.00
-73.05,19.9,0.25,0.50
-77.65,19.9,0.00,0.00
-77.4,19.9,0.00,0.00
-75.25,19.95,0.88,1.75
-77.65,19.95,0.75,2.25
-75.4,19.95,0.75,0.00
-75.3,19.95,0.75,1.50
-75.45,19.95,0.63,0.00
-75.35,19.95,0.63,1.25
-73.1,19.95,0.63,1.25
-73,19.95,0.63,0.00
-73.15,19.95,0.50,0.00
-75.6,19.95,0.38,0.00
-75.5,19.95,0.38,0.75
-77.45,19.95,0.25,0.00
-77.4,19.95,0.25,0.00
-77.35,19.95,0.25,0.00
-77.2,19.95,0.25,0.00
-76.9,19.95,0.25,0.00
-75.55,19.95,0.25,0.00
-77.6,19.95,0.13,0.00
-77.55,19.95,0.13,0.00
-77.5,19.95,0.13,0.00
-77.3,19.95,0.13,0.00
-77.25,19.95,0.13,0.00
-77.15,19.95,0.13,0.00
-77.1,19.95,0.13,0.00
-77.05,19.95,0.13,0.00
-77,19.95,0.13,0.00
-76.95,19.95,0.13,0.25
-75.2,19.95,0.00,0.00
-75.1,19.95,0.00,0.00
-75.05,19.95,0.00,0.00
-75,19.95,0.00,0.00
-75.25,20,0.88,0.00
-75.55,20,0.38,0.75
-77.45,20,0.25,0.00
-76.45,20,0.25,0.50
-75.95,20,0.25,0.00
-75.8,20,0.25,0.00
-75.75,20,0.25,0.00
-75.65,20,0.25,0.00
-75.5,20,0.25,0.00
-75.4,20,0.25,0.00
-77.6,20,0.13,0.00
-77.55,20,0.13,0.00
-77.5,20,0.13,0.00
-77.4,20,0.13,0.00
-77.35,20,0.13,0.00
-77.3,20,0.13,0.00
-77.25,20,0.13,0.00
-77.2,20,0.13,0.00
-77.15,20,0.13,0.00
-77.1,20,0.13,0.00
-77.05,20,0.13,0.00
-77,20,0.13,0.00
-76.95,20,0.13,0.00
-76.9,20,0.13,0.00
-76.6,20,0.13,0.00
-76.55,20,0.13,0.00
-76.5,20,0.13,0.00
-76.4,20,0.13,0.00
-76.35,20,0.13,0.00
-76.05,20,0.13,0.00
-76,20,0.13,0.00
-75.9,20,0.13,0.00
-75.7,20,0.13,0.00
-75.6,20,0.13,0.00
-75.45,20,0.13,0.00
-75.35,20,0.13,0.00
-75.3,20,0.13,0.25
-76.85,20,0.00,0.00
-76.8,20,0.00,0.00
-76.75,20,0.00,0.00
-76.7,20,0.00,0.00
-76.65,20,0.00,0.00
-75.2,20,0.00,0.00
-75.15,20,0.00,0.00
-75.1,20,0.00,0.00
-75.05,20,0.00,0.00
-75,20,0.00,0.00
-74.95,20,0.00,0.00
-76.85,20.05,0.88,0.00
-76.9,20.05,0.75,0.00
-76.6,20.05,0.75,0.00
-74.9,20.05,0.75,2.25
-76.5,20.05,0.50,0.00
-75.75,20.05,0.38,0.75
-75.7,20.05,0.38,0.75
-77.6,20.05,0.25,0.00
-76.05,20.05,0.25,0.25
-75.8,20.05,0.25,0.50
-75.65,20.05,0.25,0.50
-75.25,20.05,0.25,0.50
-77.45,20.05,0.13,0.00
-77.35,20.05,0.13,0.00
-77.3,20.05,0.13,0.00
-77.2,20.05,0.13,0.00
-77.15,20.05,0.13,0.00
-77.1,20.05,0.13,0.00
-77.05,20.05,0.13,0.00
-77,20.05,0.13,0.00
-76.95,20.05,0.13,0.00
-76.8,20.05,0.13,0.00
-76.75,20.05,0.13,0.00
-76.55,20.05,0.13,0.00
-76.45,20.05,0.13,0.00
-76.4,20.05,0.13,0.00
-76.35,20.05,0.13,0.00
-76.3,20.05,0.13,0.00
-76.2,20.05,0.13,0.00
-76.15,20.05,0.13,0.00
-76.1,20.05,0.13,0.00
-75.55,20.05,0.13,0.00
-75.5,20.05,0.13,0.00
-75.45,20.05,0.13,0.00
-75.35,20.05,0.13,0.00
-75.3,20.05,0.13,0.00
-77.55,20.05,0.00,0.00
-77.5,20.05,0.00,0.00
-77.4,20.05,0.00,0.00
-77.25,20.05,0.00,0.00
-76.7,20.05,0.00,0.00
-76.65,20.05,0.00,0.00
-76.25,20.05,0.00,0.00
-76,20.05,0.00,0.00
-75.95,20.05,0.00,0.00
-75.9,20.05,0.00,0.00
-75.85,20.05,0.00,0.00
-75.6,20.05,0.00,0.00
-75.4,20.05,0.00,0.00
-75.2,20.05,0.00,0.00
-75.05,20.05,0.00,0.00
-75,20.05,0.00,0.00
-74.95,20.05,0.00,0.00
-74.85,20.05,0.00,0.00
