lon,lat,RR
-92.2608,14.55,0.3
-92.2108,14.5,0.3
-92.2108,14.55,0.2
-92.2108,14.6,0.3
-92.2108,14.65,0
-92.2108,14.8,0.7
-92.2108,14.85,0.2
-92.2108,15.3,0
-92.2108,15.35,0
-92.2108,15.4,0
-92.1608,14.45,0.5
-92.1608,14.5,0.1
-92.1608,14.55,0
-92.1608,14.6,0
-92.1608,14.65,0
-92.1608,14.7,0
-92.1608,14.75,0.6
-92.1608,14.8,0.3
-92.1608,14.85,0
-92.1608,14.9,0
-92.1608,14.95,0
-92.1608,15,0
-92.1608,15.05,0
-92.1608,15.2,0
-92.1608,15.25,0
-92.1608,15.3,0
-92.1608,15.35,0
-92.1608,15.4,0
-92.1608,15.45,0
-92.1608,15.5,0
-92.1108,14.45,0.4
-92.1108,14.5,0
-92.1108,14.55,0
-92.1108,14.6,0
-92.1108,14.65,0
-92.1108,14.7,0
-92.1108,14.75,0.5
-92.1108,14.8,0
-92.1108,14.85,0
-92.1108,14.9,0
-92.1108,14.95,0
-92.1108,15,0
-92.1108,15.05,0
-92.1108,15.1,0.4
-92.1108,15.15,0
-92.1108,15.2,0
-92.1108,15.25,0
-92.1108,15.3,0
-92.1108,15.35,0
-92.1108,15.4,0.7
-92.1108,15.45,0
-92.1108,15.5,0.4
-92.1108,15.55,0
-92.0608,14.4,0.1
-92.0608,14.45,0.1
-92.0608,14.5,0
-92.0608,14.55,0
-92.0608,14.6,0
-92.0608,14.65,0
-92.0608,14.7,0
-92.0608,14.75,0.4
-92.0608,14.8,0
-92.0608,14.85,0
-92.0608,14.9,0
-92.0608,14.95,0
-92.0608,15,0
-92.0608,15.05,0.1
-92.0608,15.1,0
-92.0608,15.15,0.2
-92.0608,15.2,0
-92.0608,15.25,0
-92.0608,15.3,0
-92.0608,15.35,0
-92.0608,15.4,0
-92.0608,15.45,1
-92.0608,15.5,1
-92.0608,15.55,0
-92.0608,15.6,0
-92.0608,15.65,0
-92.0108,14.35,0
-92.0108,14.4,0
-92.0108,14.45,0
-92.0108,14.5,0
-92.0108,14.55,0
-92.0108,14.6,0
-92.0108,14.65,0.7
-92.0108,14.7,0.5
-92.0108,14.75,0.2
-92.0108,14.8,0
-92.0108,14.85,0
-92.0108,14.9,0
-92.0108,14.95,0
-92.0108,15,0.6
-92.0108,15.05,0.8
-92.0108,15.1,0.4
-92.0108,15.15,0
-92.0108,15.2,0
-92.0108,15.25,0
-92.0108,15.3,0
-92.0108,15.35,0.2
-92.0108,15.4,0.8
-92.0108,15.45,0.7
-92.0108,15.5,0.2
-92.0108,15.55,0.2
-92.0108,15.6,0.1
-92.0108,15.65,0.2
-92.0108,15.7,0.3
-91.9608,14.3,0
-91.9608,14.35,0
-91.9608,14.4,0
-91.9608,14.45,0
-91.9608,14.5,0
-91.9608,14.55,0.5
-91.9608,14.6,0.5
-91.9608,14.65,0.5
-91.9608,14.7,0.4
-91.9608,14.75,0.2
-91.9608,14.8,0
-91.9608,14.85,0
-91.9608,14.9,0
-91.9608,14.95,0.1
-91.9608,15,0
